bin_index,d_sigT,d_sigL
0,40.926486,44.482083
1,24.536615,40.507751
2,12.957039,43.605760
3,7.694981,49.537205
4,14.747975,41.528248
5,17.061237,38.371593
6,16.422083,40.754132
