bin,sigL_plus_percent,sigL_minus_percent,sigT_plus_percent,sigT_minus_percent,sigLT_plus_percent,sigLT_minus_percent,sigTT_plus_percent,sigTT_minus_percent
1.000000,-0.014296,-0.018764,-0.015637,-0.016977,-0.008042,-0.013403,-0.015637,-0.015637
2.000000,0.001702,0.003404,0.004538,0.004538,0.002269,0.001702,0.007374,0.001135
3.000000,0.006095,0.009481,0.005418,0.006095,0.003386,0.006095,0.009481,0.002709
4.000000,0.003765,0.000628,0.002510,0.001883,0.002510,0.001883,0.003138,0.003138
5.000000,0.001514,0.000757,0.001514,-0.002271,0.000000,0.002271,-0.000757,0.000757
6.000000,0.000000,-0.002801,0.003734,-0.003734,0.000934,0.007469,0.000934,-0.000934
7.000000,-0.007074,-0.005895,-0.004126,-0.009078,-0.008960,-0.001297,-0.003891,-0.007545
