bin,sigL_plus_percent,sigL_minus_percent,sigT_plus_percent,sigT_minus_percent,sigLT_plus_percent,sigLT_minus_percent,sigTT_plus_percent,sigTT_minus_percent
1.000000,-0.345992,-0.386207,-0.345299,-0.370260,-0.256547,-0.287749,0.026348,-0.732893
2.000000,-0.105479,-0.085864,-0.096597,-0.083643,-0.072540,-0.067729,-0.018135,-0.167657
3.000000,-0.073316,-0.066109,-0.079895,-0.061723,-0.055457,-0.061096,-0.040731,-0.094621
4.000000,-0.060136,-0.037535,-0.062154,-0.037938,-0.038745,-0.047624,-0.056907,-0.049642
5.000000,-0.014248,-0.004943,-0.016575,-0.001454,-0.008142,-0.011922,-0.018610,-0.004362
6.000000,0.003278,0.000937,0.001639,0.010771,0.006790,-0.006556,-0.001171,0.008430
7.000000,0.145851,0.088709,0.143853,0.105892,0.103494,0.072326,0.141855,0.099898
