bin,sigL_plus_percent,sigL_minus_percent,sigT_plus_percent,sigT_minus_percent,sigLT_plus_percent,sigLT_minus_percent,sigTT_plus_percent,sigTT_minus_percent
1.000000,-0.006133,-0.007009,-0.007009,-0.007009,-0.007885,-0.005257,-0.008762,-0.007009
2.000000,-0.002595,-0.003461,-0.004326,-0.005191,-0.002595,-0.001730,-0.006056,-0.003461
3.000000,-0.000844,-0.002531,0.000000,-0.000844,0.000844,-0.001687,-0.002531,0.000844
4.000000,-0.001207,0.002615,-0.000503,-0.000402,-0.001307,0.000101,-0.001106,-0.000402
5.000000,-0.001909,0.000000,-0.000954,0.001909,-0.000954,-0.001909,0.000000,0.000000
6.000000,-0.000970,0.002910,-0.001940,0.001940,-0.000970,-0.005820,-0.000970,0.000970
7.000000,0.005963,0.007288,0.005632,0.008502,0.006073,0.002208,0.005079,0.007730
