bin,sigL_plus_percent,sigL_minus_percent,sigT_plus_percent,sigT_minus_percent,sigLT_plus_percent,sigLT_minus_percent,sigTT_plus_percent,sigTT_minus_percent
1.000000,0.445578,0.551268,0.462690,0.535499,0.353644,0.388538,0.489867,0.507650
2.000000,-0.117634,-0.145064,-0.125283,-0.141108,-0.098644,-0.097325,-0.132668,-0.131876
3.000000,-0.106135,-0.127716,-0.107904,-0.120287,-0.087031,-0.085970,-0.116041,-0.113919
4.000000,-0.030396,-0.032024,-0.028225,-0.027682,-0.028768,-0.018455,-0.028768,-0.035281
5.000000,0.015729,0.018351,0.019006,0.026870,0.015074,0.017695,0.018351,0.019661
6.000000,0.042418,0.059884,0.047408,0.064251,0.037427,0.029942,0.047408,0.057389
7.000000,0.051202,0.067959,0.057718,0.065166,0.042823,0.032583,0.053064,0.065166
