setting_name,num_runs,effective_charge,effective_charge_error
Q0p425W2p2center_highe,4,115.7050548845109,0.8083495948623923
Q0p425W2p2center_highe_dummy,1,37.722278540187155,0.03098584162310466
Q0p425W2p2center_lowe,7,435.31465614873014,1.6201320889248232
Q0p425W2p2center_lowe_dummy,1,45.986689250398406,0.052010158464511284
Q0p425W2p2center_mide,6,429.4490874540991,3.3125301092485624
Q0p425W2p2center_mide_dummy,1,54.75694630732507,0.03951034682933567
Q0p425W2p2left1_highe,4,129.35997480326552,0.8929936879008381
Q0p425W2p2left1_highe_dummy,1,20.878848055918766,0.02335096969556514
Q0p425W2p2left1_lowe,7,671.4168794368196,2.1724004042331524
Q0p425W2p2left1_lowe_dummy,1,45.986689250398406,0.052010158464511284
Q0p425W2p2left1_mide,6,479.41931728760653,3.011919179777717
Q0p425W2p2left1_mide_dummy,1,22.198060048532454,0.021097011113944335
Q0p425W2p2left2_highe,6,167.64753847105922,1.1483871865585638
Q0p425W2p2left2_highe_dummy,1,29.13268155917211,0.02094032861658661
Q0p425W2p2left2_lowe,7,978.1614978699904,2.659196136783256
Q0p425W2p2left2_lowe_dummy,1,44.67032017331682,0.05474160507188601
Q0p425W2p2left2_mide,3,287.7504450743446,1.1570353676906437
Q0p425W2p2left2_mide_dummy,1,40.39012290982248,0.026947936900595795
Q0p425W2p2right1_highe,9,151.5429236381356,2.2404823888311807
Q0p425W2p2right1_highe_dummy,1,35.40215412773221,0.03271079152861453
Q0p425W2p2right2_highe,11,174.80591231755062,2.5334308671735335
Q0p425W2p2right2_highe_dummy,1,33.48303940760411,0.059683657449855945
