bin_index,d_sigT_plus,d_sigT_minus,d_sigL_plus,d_sigL_minus
0,-0.00070,-0.00080,-0.00320,-0.00420
1,-0.00030,-0.00040,0.00030,0.00060
2,-0.00010,-0.00030,0.00090,0.00140
3,-0.00012,0.00026,0.00060,0.00010
4,-0.00020,0.00000,0.00020,0.00010
5,-0.00010,0.00030,0.00000,-0.00030
6,0.00054,0.00066,-0.00060,-0.00050
