bin_index,d_sigT_plus,d_sigT_minus,d_sigL_plus,d_sigL_minus
0,-0.00090,-0.00060,-0.00180,-0.00300
1,-0.00030,-0.00020,0.00040,0.00030
2,0.00010,-0.00020,0.00050,0.00090
3,-0.00013,0.00001,0.00040,0.00030
4,-0.00010,-0.00020,0.00000,0.00030
5,-0.00010,-0.00060,0.00010,0.00080
6,0.00055,0.00020,-0.00076,-0.00011
