bin_index,d_sigT_plus,d_sigT_minus,d_sigL_plus,d_sigL_minus
0,-0.00080,-0.00080,-0.00350,-0.00380
1,-0.00050,-0.00060,0.00080,0.00080
2,0.00000,-0.00010,0.00080,0.00090
3,-0.00005,-0.00004,0.00040,0.00030
4,-0.00010,0.00020,0.00020,-0.00030
5,-0.00020,0.00020,0.00040,-0.00040
6,0.00051,0.00077,-0.00035,-0.00077
