bin_index,d_sigT_plus,d_sigT_minus,d_sigL_plus,d_sigL_minus
0,-0.00100,-0.00080,-0.00350,-0.00350
1,-0.00070,-0.00040,0.00130,0.00020
2,-0.00030,0.00010,0.00140,0.00040
3,-0.00011,-0.00004,0.00050,0.00050
4,0.00000,0.00000,-0.00010,0.00010
5,-0.00010,0.00010,0.00010,-0.00010
6,0.00046,0.00070,-0.00033,-0.00064
