tbin,sigT_%,sigL_%,sigLT_%,sigTT_%
1,0.000741,0.001217,0.002396,0.00427
2,0.865512,0.255076,0.866281,-1.545906
3,6.962544,3.129685,4.504867,-3.28019
4,10.890431,6.581121,10.200493,-12.0027
5,11.510303,10.214713,14.800293,-2.944011
6,8.994971,6.27991,13.36626,-2.627923
7,11.011921,4.78837,93.352822,-23.670722
