t_bin,sigT_percent_unc,sigL_percent_unc,sigLT_percent_unc,sigTT_percent_unc
1,0.170443,0.065855,0.030224,2.564494
2,0.079100,0.139168,0.250945,0.548393
3,0.505438,0.234489,0.066973,0.446783
4,0.913896,0.657936,0.844086,2.709648
5,0.554313,0.448463,1.311513,0.374189
6,0.498310,0.420945,0.253448,0.767853
7,0.265283,0.611146,1.076214,1.863761
